ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,197,-0.9847158592746992,-1.8064445828797435,6.529158480885233e-5,0.0032645792404426164,0.002061839520279547,385,"tags=8%, list=2%, signal=8%",NFAT5/B4GALT5/PDE4B/TIPARP/IFNGR2/KLF6/B4GALT1/HES1/TNFAIP3/LAMB3/DRAM1/EGR1/CD44/CCL2/IL1A/PTX3
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,198,-0.979416202718617,-1.7919616216415613,1.5414575117296715e-4,0.003853643779324179,0.0024338802816784287,518,"tags=8%, list=2%, signal=8%",DDX58/UBE2L6/TAPBP/PDE4B/SPPL2A/LATS2/ST8SIA4/HLA-A/APOL6/PLSCR1/SAMD9L/TNFAIP3/SERPING1/CD74/CCL2/SLAMF7
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,195,-0.9448728710488882,-1.7396683460501614,4.3458159719197227e-4,0.005432269964899653,0.0034309073462524126,490,"tags=9%, list=2%, signal=9%",RETSAT/EI24/GM2A/RB1/RAP2B/TM7SF3/CTSD/SEC61A1/CD81/TP53/CCNG1/MDM2/FUCA1/ABHD4/ZMAT3/DRAM1/RGS16/IL1A
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,198,-0.9459002925070661,-1.730640168466931,3.331077432198047e-4,0.005432269964899653,0.0034309073462524126,457,"tags=12%, list=2%, signal=11%",PLOD1/NTM/SNTB1/FERMT2/FSTL1/ITGAV/SNAI2/FUCA1/SPP1/CALU/TNFAIP3/DAB2/TGFBI/CDH2/COL1A1/CD44/ADAM12/MMP2/COL3A1/COL1A2/PTX3/LRRC15/MFAP5
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,196,-0.9757702383381724,-1.7937380183747418,9.051550356686196e-4,0.009051550356686196,0.0057167686463281235,571,"tags=6%, list=2%, signal=6%",PPM1G/PWP1/FAM120A/KPNB1/CCT5/CCT2/ETF1/EIF4A1/EIF4G2/CANX/PRDX4
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,192,-0.9756774380775751,-1.7952245494496697,0.0012218888295353128,0.010182406912794274,0.006430993839659541,584,"tags=5%, list=2%, signal=5%",RTN3/ACOX1/JAGN1/ATP1B3/MTCH2/CMBL/DHRS7/UCP2/LPCAT3/CD151
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,196,-0.8937476560805672,-1.6429576211253778,0.001891296820050126,0.013509263000358044,0.00853216610548929,480,"tags=6%, list=2%, signal=6%",CCT6A/RPN1/SSR1/ETF1/DHFR/CALR/HSP90B1/CANX/HSPA5/CCNG1/ELOVL5
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,148,-0.9767047227165819,-1.6835173895060955,0.004319997007349787,0.02699998129593617,0.017052619765854423,575,"tags=7%, list=2%, signal=7%",NUDT9/DGUOK/TSG101/CETN2/TMED2/PDE4B/DAD1/SEC61A1/TP53/RRM2B
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,196,-0.8199788679352854,-1.5073500009432124,0.007059430528539742,0.03872705432471356,0.024459192205082247,430,"tags=7%, list=2%, signal=7%",RHOBTB3/CHPT1/RARA/TIPARP/B4GALT1/NRIP1/RAB31/HES1/SEC14L2/ELOVL5/TSKU/OPN3/AR/CD44
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,159,-0.8423671612519658,-1.5063570703528208,0.007745410864942712,0.03872705432471356,0.024459192205082247,464,"tags=6%, list=2%, signal=6%",GPX1/ETF1/RARA/PPT1/DNAJC3/PLAT/CD44/IL1A/MMP2
