Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
H19,311.1772604825803,6.955660994706849,0.6812431884374538,0.03882756911665159,0.17052186754698373,FALSE
NR5A1,4.773547000534163,6.299845263305246,0.6164758969552063,0.008012799496055401,0.06898014613283426,FALSE
LMX1B,13.492833779373072,5.376856318319379,0.7585802705610637,0.660563424879731,0.8159127935544227,FALSE
MTND1P23,182.68506313480287,5.350628513763116,0.4267854416856945,0.789085105074843,0.8920935930867997,FALSE
MTCO2P12,47.72238260527892,5.287324578878546,0.453672433390947,0.9906953417507565,0.9962789357688137,FALSE
ADGRD2,2.5673242600445922,5.069003595049928,0.5199422746192969,0.08522892781349165,0.2680450953363172,FALSE
IGF2-AS,8.71660695996458,5.0056452427184155,0.7358913214107725,0.300298340886221,0.5369571344250124,FALSE
IGFN1,105.98592879340936,4.964052738501404,0.7359660494262928,5.570521098781428e-4,0.015254811915475903,TRUE
HOXD3,8.67202332732071,4.94534618859544,0.6282705696870853,6.695924687897137e-4,0.01699202488298697,TRUE
TPTEP1,320.0877272060333,4.734767015483134,0.5277079366302279,0.005975635562174441,0.05849873150643037,FALSE
HOXD9,4.630417421936625,4.652280382878912,1.176247601443738,0.011622574472357025,0.08573901110276554,FALSE
OR4N2,1.1604174641398155,4.648178040554327,1.3661539536399843,0.04805849860714559,NA,NA
PRDM12,17.9561927550655,4.641798210277646,0.6302656068809698,0.14531720896962275,0.3612442171450362,FALSE
GPR101,16.630729641850692,4.6349997846570234,1.0262961480534418,0.8027762908366575,0.8991519644165769,FALSE
IGF2,6890.936374704872,4.492632135638437,0.34681120306887636,0.7824274551261856,0.8882964978688151,FALSE
ADAMTS20,20.961928535212188,4.46354043250962,0.7668135730971122,0.0572013490152853,0.21232270602309458,FALSE
ADCYAP1,259.8137571604027,4.435396027388486,0.7577090329335749,8.289187250108847e-4,0.019074211010113307,TRUE
CCDC178,8.87356032859737,4.375062739969293,0.48891339633388764,0.07368866837352996,0.24655369132479502,FALSE
EDAR,2.6374805258308256,4.347003431693053,0.5951273915325785,0.049434413648863695,0.195774678919091,FALSE
HOXD4,1.1472515672613381,4.183305940119091,1.8972276198404885,0.7600729865865522,NA,NA
TPSD1,4.610568088656972,4.180896375128656,1.390914809961207,5.49557038256861e-5,0.004841022448923928,TRUE
SERPINA11,3.0619573262913504,4.127498444153707,1.3513024399392068,0.302396816962008,0.5386607894768923,FALSE
ANKRD30A,2.4706789181692534,4.007343559904872,0.8277495312368591,0.599079096971894,0.7763926400579406,FALSE
HOXD8,5.709908472947994,3.9666172883442634,1.12152381344332,0.9829082889105999,0.9920567672894695,FALSE
LPAR3,35.3506743034123,3.903071358971803,0.8161821528979164,5.9259196492168175e-6,0.0015032126218164311,TRUE
SLC4A1,73.33905461064083,3.871857988982796,0.6875084030766908,5.740362635062932e-4,0.015552092790296831,TRUE
HBM,28.101399318441167,3.8236978817834593,0.9030295300194273,8.719202609469255e-7,6.012618628329186e-4,TRUE
POU2F3,4.0407842045644,3.8088230235515717,0.45022349190651945,0.5756273946499206,0.7596206197728975,FALSE
RN7SL470P,5.369786353244024,3.787893354417351,1.5603562271475662,3.561250767743961e-4,0.011611275931936098,TRUE
HBA2,79356.50416229175,3.7328465325813505,0.8292340684372842,3.1838523542455854e-7,3.8582992944383057e-4,TRUE
MRPL23-AS1,1.6352382898120783,3.7185909789162195,0.9263164220009352,0.05508483834094361,0.20753589951646506,FALSE
OR1Q1,2.5520087222840417,3.692132356217295,1.5802052805269104,4.797455809713788e-4,0.013851971332244402,TRUE
GNG13,15.49253843104907,3.6651395377008513,0.8733944373938359,1.0671033203964759e-6,6.769881315148642e-4,TRUE
TSHR,18.051744865430443,3.6011650093954928,0.5412380360332172,0.001103627920269634,0.022476389737414847,TRUE
AC009227.2,0.6886857303231669,3.5862625316863244,1.1540669478584387,0.4240036235035384,NA,NA
LINC00689,38.32916621006443,3.583891934783051,0.4286793002083164,0.062158038312305625,0.22238345212313995,FALSE
HBA1,51149.55065791648,3.5639902074152356,0.7889085854851933,2.9213503347876664e-7,3.8582992944383057e-4,TRUE
HBB,61091.15625346784,3.5475123511895337,0.800687010596159,4.000366495450027e-7,4.3506843042658656e-4,TRUE
GATA1,9.242636636295297,3.516335927043008,1.2611593162262065,1.4920225064985924e-4,0.007424030942466525,TRUE
ALAS2,333.52539276999795,3.515110888857298,0.7993117599497351,4.496906702163951e-7,4.5482532663087817e-4,TRUE
MTCO1P47,12.776684328654042,3.4934932422420535,1.4590343379522224,4.012298159984287e-4,0.012374591810886244,TRUE
CYP2W1,3.3681414858746357,3.488684281701888,0.7639354436804106,0.07214888236550947,0.2435784662743342,FALSE
CA1,19.701964790583947,3.4840436949780083,0.8965150260887887,3.727165638927059e-6,0.0011989399440486635,TRUE
GOLGA6L2,1.9295301076375335,3.3881924200638887,1.4621422987217756,0.5592890680697074,0.7486422232909089,FALSE
METTL11B,0.591654903200154,3.3537298806432694,1.164859874578366,0.34341057337763653,NA,NA
CYP4F35P,12.101839493515337,3.3134120133271994,0.5380350724489266,0.04277748089769175,0.18009122326679847,FALSE
HOXD-AS2,1.5872094903836196,3.2953066786413565,1.1368710844664778,0.3485038795572052,0.5823435222258858,FALSE
EPB42,24.886805977561345,3.29465119120456,0.7916465385269152,1.196273638918583e-6,6.832142795822761e-4,TRUE
DLK1,35.32814474128329,3.291754314088546,0.6853249813626031,0.4335262887751092,0.6545885831901836,FALSE
RTL1,31.23283775963662,3.2444361454224744,0.7932483758818425,0.47947828109037116,0.6916776894148354,FALSE
PENK,342.63209097395116,3.2441416449413962,0.685603550386562,0.14500299313576606,0.3608205256864014,FALSE
GOLGA6C,7.240887286417332,3.2333764717411464,0.9121480532403906,1.6423589242070696e-5,0.0027181040195627003,TRUE
LINC01378,3.489231795164007,3.187677709101008,0.9007821365461216,0.010142131136192523,0.079002773881139507,FALSE
SSTR5,9.37134610554232,3.1735983878160288,1.05919347214283,9.445443081811931e-5,0.005959239628328804,TRUE
CAPN6,1.5583153031511439,3.1727154986802097,0.866942746277309,0.6686636988863053,0.8211378773575951,FALSE
PPBP,94.26060346496988,3.1591604280597654,0.6840135235533442,0.03152618476875288,0.151840264431368,FALSE
MIR4307HG,0.7143568130768019,3.1444469384983265,1.1461781595529588,0.39881090001262426,NA,NA
FLJ42102,2.0911293820060606,3.142958434604737,0.9667406766744411,1.4136412876843928e-5,0.0025244289480796113,TRUE
PF4,44.243964410686665,3.113102745398288,0.7371161162859274,0.011543688239599444,0.08537768643271104,FALSE
CRYGA,2.0200062484413635,3.105431707931765,1.0290498992052992,4.324587955306878e-5,0.004428280731159469,TRUE
DDX11L10,26.61629132158675,3.0762955663919116,1.1283448881672091,1.819258059345744e-4,0.008067967925708243,TRUE
FAM27D1,0.7632887545036461,3.0404698307155553,1.0870600880612038,0.5136889565506588,NA,NA
